89,Sebjan-Küöl__Explanatory materials__Social Organization__Krivoshapkina_AX_Even_wedding__Krivoshapkina_AX_svatovstvo_25032009_Sebjan.eaf,"id, tx (латиница), ev (кириллица)",
90,Sebjan-Küöl__Explanatory materials__Social Organization__Krivoshapkina_AX_Sebjan_history1__Krivoshapkina_AX_Sebjan_history1_240310_Sebjan.eaf,"id, tx (латиница)",
91,Sebjan-Küöl__Explanatory materials__Social Organization__Stepanova_NA_nomadic_school_110310__Stepanova_NA_kochevaja_shkola_110310_Sebjan.eaf,"id, tx (латиница)",
92,Sebjan-Küöl__Music Sound__Songs Dances__3_women_songs__3_women_songs_190310_Sebjan.eaf,"id, tx (латиница), ev (кириллица)",
93,Sebjan-Küöl__Music Sound__Songs Dances__Zaxarov_AV_song__Zaxarov_AV_song_180310_Sebjan.eaf,"id, tx (латиница), ev (кириллица)",
94,Sebjan-Küöl__Narratives__Folklore__Kirillina_KK_emchen__Kirillina_KK_emcheni_220310_Sebjan.eaf,"id, tx (латиница), ev (кириллица)",
95,Sebjan-Küöl__Narratives__Folklore__Neustroev_PD_Sebjan__Neustroev_PD_nimkan_25032009_Sebjan.eaf,"id, tx (латиница), ev (кириллица)",
96,Sebjan-Küöl__Narratives__Personal Narratives__Alekseeva_RD_chuchuna_family__Alekseeva_RD_chuchuna_family_190210.eaf,"id, tx (латиница), ev (кириллица)",
97,Sebjan-Küöl__Narratives__Personal Narratives__Alekseeva_RD_lost_tapes_znatoki__Alekseeva_RD_lost_tapes_znatoki_190210.eaf,"id, tx (латиница), ev (кириллица)",
98,Sebjan-Küöl__Narratives__Personal Narratives__Alekseeva_RD_old_remains_traditions__Alekseeva_RD_old_remains_traditions_190210.eaf,"id, tx (латиница), ev (кириллица)",
99,Sebjan-Küöl__Narratives__Personal Narratives__Alekseeva_RD_shatun__Alekseeva_RD_shatun_190210.eaf,"id, tx (латиница), ev (кириллица)",
100,Sebjan-Küöl__Narratives__Personal Narratives__Kejmetinova_AA_headmistress__Kejmetinova_AA_headmistress_Yakutsk_311010.eaf,"id, tx (латиница)",
101,Sebjan-Küöl__Narratives__Personal Narratives__Kejmetinova_XA_various__Kejmetinova_XA_various.eaf,"id, tx (латиница)",
102,Sebjan-Küöl__Narratives__Personal Narratives__Krivoshapkin_Misha_school__Krivoshapkin_Misha_school_220310_Sebjan.eaf,"id, tx (латиница)",
103,Sebjan-Küöl__Narratives__Personal Narratives__Krivoshapkina_MK_nastavlenie_materi__Krivoshapkina_MK_nastavlenie_materi_Sebjan_11032012.eaf,"id, tx (латиница), ev (кириллица)",
104,Sebjan-Küöl__Narratives__Personal Narratives__Stepanova_ZA_arrival_Tashkent__Stepanova_ZA_arrival_Tashkent.eaf,"id, tx (латиница), ev (кириллица)",
